Abílio Santana	PL	BA		dep.abiliosantana@camara.leg.br
Abou Anni	PSL	SP		dep.abouanni@camara.leg.br
Acácio Favacho	PROS	AP		dep.acaciofavacho@camara.leg.br
Adolfo Viana	PSDB	BA		dep.adolfoviana@camara.leg.br
Adriana Ventura	NOVO	SP		dep.adrianaventura@camara.leg.br
Adriano do Baldy	PP	GO		dep.adrianodobaldy@camara.leg.br
Aécio Neves	PSDB	MG		dep.aecioneves@camara.leg.br
Aelton Freitas	PL	MG		dep.aeltonfreitas@camara.leg.br
Afonso Florence	PT	BA		dep.afonsoflorence@camara.leg.br
Afonso Hamm	PP	RS		dep.afonsohamm@camara.leg.br
Afonso Motta	PDT	RS		dep.afonsomotta@camara.leg.br
Aguinaldo Ribeiro	PP	PB		dep.aguinaldoribeiro@camara.leg.br
Airton Faleiro	PT	PA		dep.airtonfaleiro@camara.leg.br
AJ Albuquerque	PP	CE		dep.ajalbuquerque@camara.leg.br
Alan Rick	DEM	AC		dep.alanrick@camara.leg.br
Alceu Moreira	MDB	RS		dep.alceumoreira@camara.leg.br
Alcides Rodrigues	PATRIOTA	GO		dep.alcidesrodrigues@camara.leg.br
Alê Silva	PSL	MG		dep.alesilva@camara.leg.br
Alencar Santana Braga	PT	SP		dep.alencarsantanabraga@camara.leg.br
Alessandro Molon	PSB	RJ		dep.alessandromolon@camara.leg.br
Alex Manente	CIDADANIA	SP		dep.alexmanente@camara.leg.br
Alex Santana	PDT	BA		dep.alexsantana@camara.leg.br
Alexandre Frota	PSDB	SP		dep.alexandrefrota@camara.leg.br
Alexandre Leite	DEM	SP		dep.alexandreleite@camara.leg.br
Alexandre Padilha	PT	SP		dep.alexandrepadilha@camara.leg.br
Alexis Fonteyne	NOVO	SP		dep.alexisfonteyne@camara.leg.br
Alice Portugal	PCdoB	BA		dep.aliceportugal@camara.leg.br
Aliel Machado	PSB	PR		dep.alielmachado@camara.leg.br
Aline Gurgel	REPUBLICANOS	AP		dep.alinegurgel@camara.leg.br
Aline Sleutjes	PSL	PR		dep.alinesleutjes@camara.leg.br
Altineu Côrtes	PL	RJ		dep.altineucortes@camara.leg.br
Aluisio Mendes	PSC	MA		dep.aluisiomendes@camara.leg.br
Amaro Neto	REPUBLICANOS	ES		dep.amaroneto@camara.leg.br
André Abdon	PP	AP		dep.andreabdon@camara.leg.br
André de Paula	PSD	PE		dep.andredepaula@camara.leg.br
André Ferreira	PSC	PE		dep.andreferreira@camara.leg.br
André Figueiredo	PDT	CE		dep.andrefigueiredo@camara.leg.br
André Fufuca	PP	MA		dep.andrefufuca@camara.leg.br
André Janones	AVANTE	MG		dep.andrejanones@camara.leg.br
Angela Amin	PP	SC		dep.angelaamin@camara.leg.br
Aníbal Gomes	DEM	CE		dep.anibalgomes@camara.leg.br
Antonio Brito	PSD	BA		dep.antoniobrito@camara.leg.br
Arlindo Chinaglia	PT	SP		dep.arlindochinaglia@camara.leg.br
Arnaldo Jardim	CIDADANIA	SP		dep.arnaldojardim@camara.leg.br
Aroldo Martins	REPUBLICANOS	PR		dep.aroldomartins@camara.leg.br
Arthur Lira	PP	AL		dep.arthurlira@camara.leg.br
Arthur Oliveira Maia	DEM	BA		dep.arthuroliveiramaia@camara.leg.br
Átila Lins	PP	AM		dep.atilalins@camara.leg.br
Átila Lira	PP	PI		dep.atilalira@camara.leg.br
Augusto Coutinho	SOLIDARIEDADE	PE		dep.augustocoutinho@camara.leg.br
