PROS	Partido Republicano da Ordem Social
DEM	Democratas
PCdoB	Partido Comunista do Brasil
PDT	Partido Democrático Trabalhista
PSB	Partido Socialista Brasileiro
PSC	Partido Social Cristão
PSD	Partido Social Democrático
PSDB	Partido da Social Democracia Brasileira
PSL	Partido Social Liberal
PSOL	Partido Socialismo e Liberdade
PT	Partido dos Trabalhadores
PTB	Partido Trabalhista Brasileiro
PV	Partido Verde
REDE	Rede Sustentabilidade
PODE	Podemos
AVANTE	Avante
MDB	Movimento Democrático Brasileiro
NOVO	Partido Novo
PP	Progressistas
SOLIDARIEDADE	Solidariedade
CIDADANIA	Cidadania
PL	Partido Liberal
PATRIOTA	Patriota
REPUBLICANOS	Republicanos
